Peso;Ano;Combustível;Km Rodados;KM/L;Limite Mensal;;;
10800;2018;DIESEL;2790;4,53;3.000,00;;;
10800;2019;DIESEL;2790;4,53;4.000,00;;;
10800;2023;DIESEL;2790;4,53;4.000,00;;;
10800;2023;DIESEL;2790;4,53;4.000,00;;;
15000;2011;DIESEL;2790;4,53;4.000,00;;;
15000;2011;DIESEL;2790;4,53;4.000,00;;;
1131;2021;GASOLINA;4.223;11,11;0;;;
1131;2024;GASOLINA;3889;17,155;1.200,00;;;
1131;2023;GASOLINA;3.197;61,36;1.600,00;;;
1131;2024;GASOLINA;2.579;10,41;1.600,00;;;
1131;2021;GASOLINA;2322;9,51;1.200,00;;;
1131;2021;GASOLINA;1.961;10,44;1.600,00;;;
976;2023;GASOLINA;5.152;12,58;2.400,00;;;
976;2023;GASOLINA;3.158;12,51;1.600,00;;;
976;2023;GASOLINA;2.802;12,28;1.600,00;;;
976;2023;GASOLINA;1.473;10,2;1.000,00;;;
1600;2019;GASOLINA;1.333;8,53;700;;;
15000;2012;DIESEL;2790;4,53;5.000,00;;;
22000;2014;DIESEL;2790;4,53;4.000,00;;;
22000;2019;DIESEL;2790;4,53;4.000,00;;;
22000;2019;DIESEL;2790;4,53;4.000,00;;;
1600;2019;DIESEL;2790;4,53;1.000,00;;;
961;2024;GASOLINA;3.263;12,59;1.200,00;;;
961;2024;GASOLINA;2.689;13,62;1.200,00;;;
961;2023;GASOLINA;1209;7,73;1.000,00;;;
961;2024;GASOLINA;561;8,97;1.000,00;;;
1058;2023;GASOLINA;1.722;12;1.600,00;;;
1058;2023;GASOLINA;1.947;14,51;1.000,00;;;
1058;2023;GASOLINA;1.490;11,41;1.200,00;;;
1058;2024;GASOLINA;305;6,63;1.600,00;;;
1028;2023;GASOLINA;6.126;11,88;2.400,00;;;
1028;2023;GASOLINA;3.588;13,75;1.600,00;;;
1028;2024;GASOLINA;3.326;10,24;1.600,00;;;
1028;2023;GASOLINA;3.090;10,15;1.200,00;;;
1028;2023;GASOLINA;2.248;10,22;1.600,00;;;
1251;2022;GASOLINA;3193;10,9;1.200,00;;;
1251;2023;GASOLINA;1.811;9,8;1.600,00;;;
12000;2006;DIESEL;308;1,44;2.000,00;;;
10800;2022;DIESEL;345;1,46;4.000,00;;;
976;2023;GASOLINA;399;8,18;1.000,00;;;
961;2024;GASOLINA;483;6,77;1.000,00;;;
24000;2006;DIESEL;900;3,49;2.000,00;;;
22000;2009;DIESEL;966;3,04;9.100,00;;;
8000;2009;DIESEL;983;1,92;4.600,00;;;
8000;2009;DIESEL;1.224;5,7;4.000,00;;;
10800;2022;DIESEL;1.243;3,36;4.000,00;;;
1634;2003;DIESEL;1.292;3,39;2.000,00;;;
1058;2024;GASOLINA;1.314;8,07;1.600,00;;;
1600;2019;DIESEL;1.414;9,11;700;;;
1058;2023;GASOLINA;1.452;11,12;1.200,00;;;
961;2023;GASOLINA;1.666;10,1;1.000,00;;;
1634;2003;DIESEL;1.674;5,76;2.000,00;;;
1131;2021;GASOLINA;1.719;11,36;0;;;
1131;2023;GASOLINA;1.844;10,91;1.600,00;;;
1058;2023;GASOLINA;1.852;13,79;1.000,00;;;
8000;2008;DIESEL;1.862;3,36;3.000,00;;;
1251;2023;GASOLINA;1.971;9,06;1.600,00;;;
1131;2021;GASOLINA;1.980;10,25;1.200,00;;;
976;2023;GASOLINA;2004;12,05;1.600,00;;;
976;2023;GASOLINA;2.239;12,31;1.600,00;;;
961;2024;GASOLINA;2.355;11,9;1.200,00;;;
8000;2011;DIESEL;2.443;3,91;3.000,00;;;
1058;2023;GASOLINA;2.537;11,58;1.600,00;;;
961;2024;GASOLINA;2.644;13,13;1.200,00;;;
23000;2024;DIESEL;2.674;2,93;9.000,00;;;
29000;2021;DIESEL;2.726;2,86;6.000,00;;;
10800;2021;DIESEL;2.789;4,12;5.000,00;;;
1131;2024;GASOLINA;2.867;11,33;1.600,00;;;
22000;2009;DIESEL;2.870;2,13;9.100,00;;;
1028;2023;GASOLINA;3.021;11,46;1.200,00;;;
1251;2022;GASOLINA;3.150;12,23;1.200,00;;;
1028;2024;GASOLINA;3.226;9,77;1.600,00;;;
1028;2023;GASOLINA;3.278;9,78;1.600,00;;;
8000;2013;DIESEL;3.335;3,5;3.000,00;;;
1131;2024;GASOLINA;3.470;8,79;1.200,00;;;
29000;2020;DIESEL;3.670;1,28;9.100,00;;;
1600;2019;DIESEL;3.906;8,2;1.000,00;;;
10800;2021;DIESEL;3.942;3,48;4.000,00;;;
1028;2023;GASOLINA;4.031;12,62;1.600,00;;;
8000;2009;DIESEL;4.037;6,41;4.600,00;;;
976;2023;GASOLINA;4.191;11,97;2.400,00;;;
8000;2009;DIESEL;4.499;5,04;4.600,00;;;
8000;2010;DIESEL;5.100;5,49;4.600,00;;;
1028;2023;GASOLINA;5.223;12,61;2.400,00;;;
1131;2021;GASOLINA;5.371;11,23;1.600,00;;;
15000;2007;DIESEL;5.489;3,73;9.100,00;;;
22000;2019;DIESEL;2581;3,96;4.000,00;;;
22000;2019;DIESEL;2581;3,96;4.000,00;;;
10800;2019;DIESEL;2581;3,96;4.000,00;;;
22000;2014;DIESEL;2581;3,96;4.000,00;;;
15000;2011;DIESEL;2581;3,96;4.000,00;;;
15000;2012;DIESEL;2581;3,96;5.000,00;;;
10800;2023;DIESEL;2581;3,96;4.000,00;;;
10800;2023;DIESEL;2581;3,96;4.000,00;;;
15000;2011;DIESEL;2581;3,96;4.000,00;;;
10800;2018;DIESEL;2581;3,96;3.000,00;;;
